Id,Start time,Completion time,Email,Name,Gender,Age,session_id_A,Condition Order,The system expressed emotions.,The system understood my goals.,The system considered my mental state.,The system understood my intentions.,The system showed interest in me.,The system understood my needs.,The system seemed emotionally intelligent,I trusted the system.,The system sympathized with me.,The system supported me in coping with an emotional situation.,Question.I think that I would like to use this system frequently.,Question.I found the system unnecessarily complex.,Question.I thought the system was easy to use.,Question.I think that I would need the support of a technical person to be able to use this system.,Question.I found the various functions in this system were well integrated.,Question.I thought there was too much inconsistency in this system.,Question.I would imagine that most people would learn to use this system very quickly.,Question.I found the system very cumbersome to use,Question.I felt very confident using the system.,Question.I needed to learn a lot of things before I could get going with this system.,Is there anything else you would like to share about your experience with this agent?,session_id_B,Condition Order1,The system expressed emotions.1,The system understood my goals.1,The system considered my mental state.1,The system understood my intentions.1,"The system showed interest in me.
 1","The system understood my needs.
 1","The system seemed emotionally intelligent
 1","I trusted the system.
 1","The system sympathized with me.
 1","The system supported me in coping with an emotional situation.
 1",Question.I think that I would like to use this system frequently.1,Question.I found the system unnecessarily complex.1,Question.I thought the system was easy to use.1,Question.I think that I would need the support of a technical person to be able to use this system.1,Question.I found the various functions in this system were well integrated.1,Question.I thought there was too much inconsistency in this system.1,Question.I would imagine that most people would learn to use this system very quickly.1,Question.I found the system very cumbersome to use1,Question.I felt very confident using the system. 1,Question.I needed to learn a lot of things before I could get going with this system.1,Is there anything else you would like to share about your experience with this agent?1
11,28-3-2026 08:28,28-3-2026 08:49,anonymous,,Woman,23,NA,Semantic Only,100,100,100,100,80,90,100,75,75,100,Agree,Disagree,Agree,Strongly Disagree,Neutral,Disagree,Neutral,Disagree,Neutral,Disagree,,NA,Prosodic,90,70,75,90,80,80,100,60,70,90,Neutral,Disagree,Agree,Disagree,Neutral,Disagree,Agree,Disagree,Neutral,Strongly Disagree,
12,28-3-2026 09:36,28-3-2026 10:01,anonymous,,Woman,21,NA,Semantic Only,80,100,100,100,70,80,70,70,80,70,Disagree,Disagree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Neutral,Strongly Disagree,"I didn’t like how the agent’s voice was robotic, and the answers were too long while I prefer shorter responses.",NA,Prosodic,70,90,80,100,80,100,70,80,70,80,Neutral,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Disagree,Neutral,Strongly Disagree,The answers were good but really long
13,2-4-2026 11:49,2-4-2026 12:05,anonymous,,Man,22,NA,Semantic Only,80,90,90,70,100,80,90,90,80,70,Neutral,Disagree,Strongly Agree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Agree,Disagree,Agree,Strongly Disagree,talks too long,NA,Prosodic,70,70,100,100,70,80,80,80,60,50,Disagree,Agree,Strongly Agree,Strongly Disagree,Neutral,Agree,Agree,Strongly Disagree,Agree,Strongly Disagree,
14,2-4-2026 12:41,2-4-2026 12:54,anonymous,,Man,22,NA,Semantic Only,80,70,20,40,30,50,40,30,5,10,Disagree,Strongly Disagree,Agree,Disagree,Neutral,Disagree,Agree,Disagree,Neutral,Disagree,The agent was very mean for no reason at the start,NA,Prosodic,60,80,80,70,70,75,75,60,70,65,Neutral,Strongly Disagree,Agree,Strongly Disagree,Agree,Disagree,Agree,Disagree,Agree,Strongly Disagree,"The agent said hmm... at the start of every response, which felt a bit robotic"
15,2-4-2026 13:09,2-4-2026 13:26,anonymous,,Man,23,NA,Semantic Only,75,95,88,90,80,90,85,80,90,80,Neutral,Disagree,Strongly Agree,Disagree,Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Disagree,,NA,Prosodic,85,75,90,70,95,75,90,80,90,95,Neutral,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,
16,2-4-2026 13:28,2-4-2026 13:41,anonymous,,Man,22,NA,Semantic Only,1,40,40,100,60,50,0,100,80,50,Strongly Disagree,Neutral,Strongly Agree,Disagree,Neutral,Strongly Disagree,Strongly Agree,Disagree,Agree,Strongly Disagree,,NA,Prosodic,70,30,60,30,0,0,50,0,50,30,Strongly Disagree,Disagree,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Disagree,Neutral,Strongly Disagree,
17,2-4-2026 14:55,2-4-2026 15:03,anonymous,,Woman,22,NA,Semantic Only,7,85,50,100,75,100,80,60,75,100,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,,NA,Prosodic,90,100,60,100,100,90,100,90,100,100,Neutral,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,
18,2-4-2026 15:04,2-4-2026 15:16,anonymous,,Woman,21,NA,Semantic Only,30,80,20,80,30,45,20,25,10,35,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Neutral,Strongly Agree,Strongly Disagree,Neutral,Strongly Disagree,,NA,Prosodic,90,80,90,80,60,70,65,55,70,75,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,
19,2-4-2026 15:16,2-4-2026 15:29,anonymous,,Man,25,NA,Semantic Only,50,90,50,100,30,85,60,80,90,0,Neutral,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Neutral,Strongly Disagree,,NA,Prosodic,90,50,70,50,85,30,40,60,70,50,Neutral,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Agree,Strongly Agree,Strongly Disagree,Neutral,Strongly Disagree,
20,2-4-2026 15:29,2-4-2026 15:33,anonymous,,Man,22,NA,Semantic Only,50,90,80,80,70,80,60,60,70,60,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Neutral,,NA,Prosodic,90,90,85,90,70,90,80,80,80,80,Agree,Neutral,Agree,Neutral,Strongly Agree,Disagree,Strongly Agree,Agree,Agree,Disagree,
21,2-4-2026 15:33,2-4-2026 15:54,anonymous,,Man,23,NA,Semantic Only,95,80,80,70,50,70,80,70,80,70,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,no,NA,Prosodic,96,80,80,80,80,85,80,80,90,80,Agree,Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Agree,Disagree,no
22,2-4-2026 15:54,2-4-2026 16:15,anonymous,,Man,23,NA,Semantic Only,40,75,60,80,95,90,65,50,80,80,Neutral,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Disagree,Strongly Agree,Strongly Disagree,Neutral,Disagree,"For some reason it thought I was speaking Dutch, even though I was speaking English (Im Dutch so it might have recognized my accent)",NA,Prosodic,50,80,75,90,90,90,45,40,70,80,Neutral,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Disagree,Strongly Agree,Strongly Disagree,Neutral,Disagree,"The system thinks Im speaking Dutch (I am, but I was speaking English)"
23,2-4-2026 16:15,2-4-2026 16:26,anonymous,,Woman,21,NA,Semantic Only,70,70,60,70,60,60,60,60,70,75,Neutral,Strongly Disagree,Strongly Agree,Disagree,Neutral,Disagree,Agree,Disagree,Agree,Strongly Disagree,,NA,Prosodic,70,80,59,70,60,70,70,70,80,80,Neutral,Strongly Disagree,Agree,Strongly Disagree,Agree,Strongly Disagree,Agree,Disagree,Agree,Disagree,"It felt the same as the previous one to me, not sure what the difference was."
24,2-4-2026 16:26,2-4-2026 16:36,anonymous,,Woman,22,NA,Semantic Only,10,100,20,100,50,100,30,30,60,40,Disagree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Neutral,Strongly Disagree,,NA,Prosodic,10,100,10,100,90,100,40,50,20,70,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,
25,2-4-2026 16:36,2-4-2026 16:52,anonymous,,Man,25,NA,Semantic Only,90,90,80,70,90,80,60,40,60,60,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,,NA,Prosodic,90,90,80,70,80,70,70,60,80,75,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,
26,2-4-2026 16:53,2-4-2026 18:39,anonymous,,Man,22,NA,Semantic Only,80,100,70,100,85,90,80,60,60,80,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Disagree,Strongly Agree,Disagree,Agree,Agree,none,NA,Prosodic,95,95,80,100,80,100,85,85,80,90,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Agree,Strongly Disagree,none
27,2-4-2026 19:42,2-4-2026 20:00,anonymous,,Man,22,NA,Semantic Only,10,70,35,65,40,60,10,50,30,10,Neutral,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Disagree,Strongly Agree,Strongly Disagree,Neutral,Strongly Disagree,The voice is pretty offputting in terms of emotional capacity of the agent.,NA,Prosodic,27,80,75,80,50,70,35,40,55,40,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Disagree,Strongly Agree,Strongly Disagree,Neutral,Strongly Disagree,
28,2-4-2026 21:18,2-4-2026 21:50,anonymous,,Man,24,session_1775157958,Prosodic,65,70,80,80,70,80,85,60,90,75,Agree,Strongly Disagree,Agree,Strongly Disagree,Agree,Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,"It was quite interesting. The sounds the agent made while thinking did not sound natural and that made me doubt the capabilities of it. However, as the conversation progresses I think the suggestions it was giving and the followup questions asked became more and more relevant, making me feel like I was listened carefully.",NA,Semantic Only,90,80,75,90,100,80,75,70,90,90,Neutral,Disagree,Strongly Agree,Strongly Disagree,Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,I think the advice is unnecessarily long sometimes
29,2-4-2026 21:50,2-4-2026 22:10,anonymous,,Man,22,NA,Prosodic,100,100,100,100,100,100,100,100,100,100,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,NA,Semantic Only,100,100,20,30,70,43,60,30,20,30,Neutral,Agree,Agree,Disagree,Agree,Neutral,Strongly Agree,Neutral,Neutral,Disagree,
30,6-4-2026 16:33,6-4-2026 16:37,anonymous,,Man,23,NA,Semantic Only,40,70,50,50,80,60,75,65,65,68,Agree,Disagree,Strongly Agree,Strongly Disagree,Agree,Disagree,Neutral,Disagree,Agree,Disagree,,NA,Prosodic,70,85,75,80,75,80,70,75,70,80,Neutral,Disagree,Agree,Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Disagree,
